Data,Investido,TIpo,Quem investiu,Valor,,,,,,,,,,,,,,,,,,,,
01/09/2014,TrustSign,was acquired by,- SiteBlindado,,,,,,,,,,,,,,,,,,,,,
01/09/2014,Entire TP,was acquired by,- Interplayers,,,,,,,,,,,,,,,,,,,,,
01/09/2014,Loggi,raised funds from,"- Monashees Capital
   - Qualcomm Ventures","BRL 10,000,000",,,,,,,,,,,,,,,,,,,,
01/09/2014,BancodeJogos,raised funds from,,"USD 10,000,000",,,,,,,,,,,,,,,,,,,,
01/09/2014,Empowered Company Strategy,was acquired by,- Interplayers,,,,,,,,,,,,,,,,,,,,,
01/09/2014,Entrega Delivery,was acquired by,- HelloFood Brasil,,,,,,,,,,,,,,,,,,,,,
01/09/2014,NZN,raised funds from,- H.I.G. Capital,,,,,,,,,,,,,,,,,,,,,
01/09/2014,WImoveis,was acquired by,- Imovelweb,,,,,,,,,,,,,,,,,,,,,
01/09/2014,maxiPago!,was acquired by,- Rede,,,,,,,,,,,,,,,,,,,,,
01/09/2014,Emprego Ligado,raised funds from,"- e.Bricks Digital
   - Monashees Capital
   - Qualcomm Ventures","USD 7,000,000",,,,,,,,,,,,,,,,,,,,
01/08/2014,iFood,was acquired by,- Movile,,,,,,,,,,,,,,,,,,,,,
01/08/2014,Itaro,raised funds from,"- Astella
   - Simile Venture Partners
   - IG Angels
   - TA Ventures
   - Variv Capital",,,,,,,,,,,,,,,,,,,,,
01/08/2014,Workana,raised funds from,"- DMGT
   - NXTP Labs","USD 500,000",,,,,,,,,,,,,,,,,,,,
01/08/2014,ClickBus,raised funds from,"- Rocket Internet
   - Holtzbrinck
   - LIH
   - Tengelmann Group","USD 10,000,000",,,,,,,,,,,,,,,,,,,,
01/08/2014,Nibo,raised funds from,"- Redpoint eVentures
   - Valor Capital",,,,,,,,,,,,,,,,,,,,,
01/08/2014,Edools,was acquired by,- SambaTech,,,,,,,,,,,,,,,,,,,,,
01/08/2014,99 Motos,was acquired by,- incube,"BRL 3,000,000",,,,,,,,,,,,,,,,,,,,
01/08/2014,Mailee,was acquired by,- Rede Host,,,,,,,,,,,,,,,,,,,,,
01/08/2014,Dino,raised funds from,"- Silvio Genesini
   - Antonio de Athayde","BRL 400,000",,,,,,,,,,,,,,,,,,,,
01/08/2014,SitePX,raised funds from,- Sul! Internet,"BRL 3,000,000",,,,,,,,,,,,,,,,,,,,
01/08/2014,Movile,raised funds from,"- Innova Capital
   - Finep","USD 55,000,000",,,,,,,,,,,,,,,,,,,,
01/08/2014,00k,raised funds from,MercadoLibre,,,,,,,,,,,,,,,,,,,,,
01/08/2014,AirCRM,raised funds from,MercadoLibre,,,,,,,,,,,,,,,,,,,,,
