Data,Investido,TIpo,Quem investiu,Valor,,,,,,,,,,,,,,,,,,,,
01/12/2012,Viva Real,raised funds from,"- Kaszek Ventures
   - Valiant Capital Partners
   - Monashees Capital","BRL 30,000,000",,,,,,,,,,,,,,,,,,,,
01/12/2012,Lema21,raised funds from,"- Chamath Palihapitiya
   - Social+Capital Partnership
   - Ted Maidenberg
   - Romero Rodrigues
   - Luis Mario Bilenky","USD 1,600,000",,,,,,,,,,,,,,,,,,,,
01/12/2012,Evenka,raised funds from,- Harpia Ventures,ND,,,,,,,,,,,,,,,,,,,,
01/12/2012,VitrinePix,raised funds from,"- Astor Group
   - e.Bricks Digital",ND,,,,,,,,,,,,,,,,,,,,
01/12/2012,Itaro,raised funds from,"- Rising Venture
   - Unique Partners
   - Simile Venture Partners",ND,,,,,,,,,,,,,,,,,,,,
01/12/2012,Giver,raised funds from,- HFPX Participações,ND,,,,,,,,,,,,,,,,,,,,
01/12/2012,Sophie & Juliete,raised funds from,- Redpoint eVentures,ND,,,,,,,,,,,,,,,,,,,,
01/12/2012,Descomplica,raised funds from,"- 500 Startups
   - Valor Capital
   - Valar Ventures
   - El Area
   - Social+Capital Partnership",ND,,,,,,,,,,,,,,,,,,,,
01/12/2012,Hotelli,raised funds from,"- Polaris Investimentos
   - Lab22
   - Garan Ventures
   - NH Investimentos",ND,,,,,,,,,,,,,,,,,,,,
01/12/2012,Netcom,raised funds from,- Confrapar,ND,,,,,,,,,,,,,,,,,,,,
01/11/2012,RockBee,incubated by,- Wayra Brasil,"USD 50,000",,,,,,,,,,,,,,,,,,,,
01/11/2012,Super Lead,raised funds from,- Mountain do Brasil,"BRL 1,000,000",,,,,,,,,,,,,,,,,,,,
01/11/2012,Go2neXt,raised funds from,- KB7,"BRL 3,000,000",,,,,,,,,,,,,,,,,,,,
01/11/2012,Canal do Crédito,raised funds from,- GRPCOM,"BRL 30,000,000",,,,,,,,,,,,,,,,,,,,
01/11/2012,Imovelweb,raised funds from,- Riverwood Capital,"USD 30,000,000",,,,,,,,,,,,,,,,,,,,
01/11/2012,LottoStars,raised funds from,- Tony Perkins,"USD 700,000",,,,,,,,,,,,,,,,,,,,
01/11/2012,Emprego Ligado,raised funds from,"- 500 Startups
   - Fortify.vc
   - Initial Capital
   - Rising Venture",ND,,,,,,,,,,,,,,,,,,,,
01/11/2012,Zap Saúde,raised funds from,- Luis Carlos Freitas,ND,,,,,,,,,,,,,,,,,,,,
01/11/2012,Tuilux,raised funds from,- Astella,ND,,,,,,,,,,,,,,,,,,,,
01/11/2012,Eventials,raised funds from,- Locaweb,ND,,,,,,,,,,,,,,,,,,,,
01/11/2012,Moblife,raised funds from,- Astella,ND,,,,,,,,,,,,,,,,,,,,
01/11/2012,55Social,raised funds from,- Redpoint eVentures,ND,,,,,,,,,,,,,,,,,,,,
01/10/2012,Qual Canal,incubated by,- 500 Startups,"USD 50,000",,,,,,,,,,,,,,,,,,,,
01/10/2012,Veduca,raised funds from,"- 500 Startups
   - Mountain do Brasil","BRL 1,500,000",,,,,,,,,,,,,,,,,,,,
01/10/2012,Easy Taxi,raised funds from,- Rocket Internet,"BRL 10,000,000",,,,,,,,,,,,,,,,,,,,
01/10/2012,BuyOnSocial,raised funds from,- DBR.ag,"BRL 600,000",,,,,,,,,,,,,,,,,,,,
01/10/2012,Oppa,raised funds from,"- Kaszek Ventures
   - Ribbit Capital
   - Peter Thiel
   - Thrive Capital
   - Monashees Capital","USD 10,470,000",,,,,,,,,,,,,,,,,,,,
01/10/2012,Cuponomia,raised funds from,- 500 Startups,ND,,,,,,,,,,,,,,,,,,,,
01/10/2012,Área Central,raised funds from,- HFPX Participações,ND,,,,,,,,,,,,,,,,,,,,
01/10/2012,Axado,raised funds from,- Fundo SC,ND,,,,,,,,,,,,,,,,,,,,
01/10/2012,Amo Muito,raised funds from,- Ideiasnet,ND,,,,,,,,,,,,,,,,,,,,
01/10/2012,OQVestir,raised funds from,- Tiger Global Management,ND,,,,,,,,,,,,,,,,,,,,
01/10/2012,Foome,raised funds from,- HFPX Participações,ND,,,,,,,,,,,,,,,,,,,,
01/10/2012,Pagpop,raised funds from,- Intel Capital,ND,,,,,,,,,,,,,,,,,,,,
01/10/2012,ZeroPaper,raised funds from,-21212,ND,,,,,,,,,,,,,,,,,,,,
01/10/2012,Woopi,was acquired by,- Stefanini,ND,,,,,,,,,,,,,,,,,,,,
01/09/2012,Pixeon,merged with,- Medical Systems,ND,,,,,,,,,,,,,,,,,,,,
01/09/2012,NeoAssist,raised funds from,- Green Technology,"BRL 7,000,000",,,,,,,,,,,,,,,,,,,,
01/09/2012,MeCasar,raised funds from,- HFPX Participações,ND,,,,,,,,,,,,,,,,,,,,
01/09/2012,Minuto Seguros,raised funds from,- Redpoint eVentures,ND,,,,,,,,,,,,,,,,,,,,
01/09/2012,Peela,raised funds from,- Trinidade Investimentos,ND,,,,,,,,,,,,,,,,,,,,
01/09/2012,Pixeon,raised funds from,- Intel Capital,ND,,,,,,,,,,,,,,,,,,,,
01/09/2012,Mala Pronta,was acquired by,- TUI Travel,ND,,,,,,,,,,,,,,,,,,,,
01/09/2012,NovaLink,was acquired by,- Thomson Reuters,ND,,,,,,,,,,,,,,,,,,,,
01/09/2012,Shopcliq,was acquired by,- Buscapé,ND,,,,,,,,,,,,,,,,,,,,
01/08/2012,Locamob,raised funds from,"- Christian Gessner
   - Stefan Schimenes",ND,,,,,,,,,,,,,,,,,,,,
01/08/2012,Printi,raised funds from,"- Kai Schoppen
   - Greekoaks Capital
   - Joe Lonsdale
   - Peter Fernandez
   - Fabrice Grinda
   - Florian Otto","BRL 2,500,000",,,,,,,,,,,,,,,,,,,,
01/08/2012,Dafiti,raised funds from,- JPMorgan Asset Management,"BRL 90,000,000",,,,,,,,,,,,,,,,,,,,
01/08/2012,Realtime,raised funds from,- BRZTech Holding,"USD 100,000,000",,,,,,,,,,,,,,,,,,,,
01/08/2012,Lets,raised funds from,- RBS,ND,,,,,,,,,,,,,,,,,,,,
01/08/2012,Vostu,raised funds from,"- Tiger Global Management
   - Intel Capital
   - General Catalyst",ND,,,,,,,,,,,,,,,,,,,,
01/08/2012,Runrun.it,raised funds from,"- Antonio Carlos Soares
   - Patrick Lisbona",ND,,,,,,,,,,,,,,,,,,,,
01/08/2012,Listus,raised funds from,"- Devise
   - Polaris Investimentos",ND,,,,,,,,,,,,,,,,,,,,
01/08/2012,Elike,raised funds from,- Intel Capital,ND,,,,,,,,,,,,,,,,,,,,
01/08/2012,Appies,raised funds from,- Trinidade Investimentos,ND,,,,,,,,,,,,,,,,,,,,
01/08/2012,eÓtica,raised funds from,"- Kaszek Ventures
   - Kai Schoppen",ND,,,,,,,,,,,,,,,,,,,,
01/08/2012,Movere,was acquired by,- Idea.me,ND,,,,,,,,,,,,,,,,,,,,
01/07/2012,Oktagon Games,raised funds from,- Confrapar,"BRL 2,000,000",,,,,,,,,,,,,,,,,,,,
01/07/2012,VestesBR,raised funds from,- Diether Werninghaus,"BRL 5,000,000",,,,,,,,,,,,,,,,,,,,
01/07/2012,Dabee,raised funds from,- Monashees Capital,ND,,,,,,,,,,,,,,,,,,,,
01/07/2012,MadeiraMadeira,raised funds from,"- Kaszek Ventures
   - Flybridge Capital
   - Niraj Shah
   - Christian Friedland
   - Monashees Capital",ND,,,,,,,,,,,,,,,,,,,,
01/07/2012,Guiato,raised funds from,"- Flavio Jansen
   - A5 Investimentos",ND,,,,,,,,,,,,,,,,,,,,
01/07/2012,Profite,was acquired by,- CookieWeb,"BRL 3,200,000",,,,,,,,,,,,,,,,,,,,
01/07/2012,Bixti,was acquired by,- Elo7,ND,,,,,,,,,,,,,,,,,,,,
01/06/2012,Donde Voy,raised funds from,,"BRL 100,000",,,,,,,,,,,,,,,,,,,,
01/06/2012,Netshoes,raised funds from,- Temasek Holdings,"BRL 135,000,000",,,,,,,,,,,,,,,,,,,,
01/06/2012,Dabee,raised funds from,NH Investimentos,,,,,,,,,,,,,,,,,,,,,
01/06/2012,Baby.com.br,raised funds from,"- Accel Partners
   - Tiger Global Management
   - Menlo Ventures
   - Valor Capital","USD 16,000,000",,,,,,,,,,,,,,,,,,,,
01/06/2012,Juv&You,raised funds from,"- Kai Schoppen
   - ru-Net
   - Florian Otto",ND,,,,,,,,,,,,,,,,,,,,
01/06/2012,Unipay,raised funds from,- 500 Startups,ND,,,,,,,,,,,,,,,,,,,,
01/06/2012,Flores Online,raised funds from,"- BR Opportunities
   - 1800-flowers",ND,,,,,,,,,,,,,,,,,,,,
01/06/2012,Folhamatic,was acquired by,- Sage,"BRL 398,000,000",,,,,,,,,,,,,,,,,,,,
01/06/2012,Consulta Remédios,was acquired by,- Grupo Codal,ND,,,,,,,,,,,,,,,,,,,,
01/05/2012,emotion.me,raised funds from,- Harpia Ventures,"USD 250,000",,,,,,,,,,,,,,,,,,,,
01/05/2012,HelpSaude,raised funds from,- Kaszek Ventures,ND,,,,,,,,,,,,,,,,,,,,
01/04/2012,Whapp,merged with,- Imaginareality,ND,,,,,,,,,,,,,,,,,,,,
01/04/2012,Vtex,raised funds from,- Naspers,ND,,,,,,,,,,,,,,,,,,,,
01/04/2012,Minha Vida,raised funds from,"- Catalyst
   - Intel Capital",ND,,,,,,,,,,,,,,,,,,,,
01/04/2012,Softcorp,was acquired by,- Techresult,"BRL 15,000,000",,,,,,,,,,,,,,,,,,,,
01/04/2012,Ceviu,was acquired by,- CareerBuilder,ND,,,,,,,,,,,,,,,,,,,,
01/03/2012,Fisgo,raised funds from,- Confrapar,"BRL 2,000,000",,,,,,,,,,,,,,,,,,,,
01/03/2012,Mandic,raised funds from,- Riverwood Capital,"USD 100,000,000",,,,,,,,,,,,,,,,,,,,
01/03/2012,Sophie & Juliete,raised funds from,"- Redpoint eVentures
   - IG Expansion",ND,,,,,,,,,,,,,,,,,,,,
01/03/2012,YepDoc,raised funds from,- Rocket Internet,ND,,,,,,,,,,,,,,,,,,,,
01/03/2012,21 diamonds,raised funds from,- Rocket Internet,ND,,,,,,,,,,,,,,,,,,,,
01/03/2012,Zocprint,raised funds from,- Rocket Internet,ND,,,,,,,,,,,,,,,,,,,,
01/03/2012,Wabbers,raised funds from,- IVP,ND,,,,,,,,,,,,,,,,,,,,
01/03/2012,Elo7,raised funds from,- Insight Venture Partners,ND,,,,,,,,,,,,,,,,,,,,
01/03/2012,Ningo,raised funds from,- Cassio Spina,ND,,,,,,,,,,,,,,,,,,,,
01/03/2012,O Entregador,was acquired by,- Peixe Urbano,ND,,,,,,,,,,,,,,,,,,,,
01/03/2012,Groupalia,was acquired by,- Peixe Urbano,ND,,,,,,,,,,,,,,,,,,,,
01/02/2012,BebêStore,raised funds from,- Atomico,"USD 2,000,000",,,,,,,,,,,,,,,,,,,,
01/02/2012,Restorando,raised funds from,"- Kaszek Ventures
   - Atomico
   - Emergence Capital
   - Storm Ventures","USD 3,000,000",,,,,,,,,,,,,,,,,,,,
01/02/2012,Starline,raised funds from,- Confrapar,ND,,,,,,,,,,,,,,,,,,,,
01/02/2012,MT Performance,raised funds from,"- eVentures
   - BDMI",ND,,,,,,,,,,,,,,,,,,,,
01/02/2012,Pixeon,raised funds from,- Intel Capital,ND,,,,,,,,,,,,,,,,,,,,
01/02/2012,Fashion.me,raised funds from,- Intel Capital,ND,,,,,,,,,,,,,,,,,,,,
01/02/2012,Coquelux,raised funds from,- Intel Capital,ND,,,,,,,,,,,,,,,,,,,,
01/02/2012,Viva Real,raised funds from,"- Kaszek Ventures
   - Greg Waldorf
   - Simon Baker
   - Shaun Di Gregorio
   - Wences Casares
   - Micky Malka
   - Ariel Poler
   - Gordon Rubenstein
   - 500 Startups
   - Jeff Fluhr
   - Errol Damelin
   - Florian Otto
   - Monashees Capital",ND,,,,,,,,,,,,,,,,,,,,
01/02/2012,Cidade Internet,was acquired by,- Populis,ND,,,,,,,,,,,,,,,,,,,,
01/02/2012,Zuppa,was acquired by,- Peixe Urbano,ND,,,,,,,,,,,,,,,,,,,,
01/01/2012,Connectparts,raised funds from,- Atomico,"USD 7,000,000",,,,,,,,,,,,,,,,,,,,
01/01/2012,Peixe Urbano,raised funds from,"- General Atlantic
   - Tiger Global Management
   - Morgan Stanley
   - T. Rowe Price Associates",ND,,,,,,,,,,,,,,,,,,,,
01/01/2012,Ideiasnet,raised funds from,- Liberty Media,ND,,,,,,,,,,,,,,,,,,,,
01/01/2012,Hipxik,shut down,,ND,,,,,,,,,,,,,,,,,,,,
01/01/2012,Resolva.me,was acquired by,- Buscapé,ND,,,,,,,,,,,,,,,,,,,,
01/01/2012,Aorta,was acquired by,- Grupo.Mobi,ND,,,,,,,,,,,,,,,,,,,,
01/12/2011,Apontador,raised funds from,- LBS Local,"BRL 10,000,000",,,,,,,,,,,,,,,,,,,,
01/12/2011,Saútil,raised funds from,"- Vox Capital
   - Village Capital","BRL 100,000",,,,,,,,,,,,,,,,,,,,
01/12/2011,Banco Pérola,raised funds from,"- Vox Capital
   - Village Capital","BRL 100,000",,,,,,,,,,,,,,,,,,,,
01/12/2011,QMágico,raised funds from,"- Vox Capital
   - Village Capital","BRL 100,000",,,,,,,,,,,,,,,,,,,,
01/12/2011,Myreks,raised funds from,- Fundo SC,ND,,,,,,,,,,,,,,,,,,,,
01/12/2011,Predicta,raised funds from,- RBS,ND,,,,,,,,,,,,,,,,,,,,
01/12/2011,Yupi Studios,raised funds from,- Tapjoy,ND,,,,,,,,,,,,,,,,,,,,
01/11/2011,Bússola do Investidor,incubated by,- Startup Chile,"USD 40,000",,,,,,,,,,,,,,,,,,,,
01/11/2011,Checkout10,incubated by,- Startup Chile,"USD 40,000",,,,,,,,,,,,,,,,,,,,
01/11/2011,DeskMetrics,incubated by,- Startup Chile,"USD 40,000",,,,,,,,,,,,,,,,,,,,
01/11/2011,GPNX,incubated by,- Startup Chile,"USD 40,000",,,,,,,,,,,,,,,,,,,,
01/11/2011,Yupi Studios,incubated by,- Startup Chile,"USD 40,000",,,,,,,,,,,,,,,,,,,,
01/11/2011,Pinspire,raised funds from,- Rocket Internet,ND,,,,,,,,,,,,,,,,,,,,
01/11/2011,Kekanto,raised funds from,"- Accel Partners
   - Kaszek Ventures",ND,,,,,,,,,,,,,,,,,,,,
01/11/2011,Baby.com.br,raised funds from,"- Angélica
   - Luciano Huck",ND,,,,,,,,,,,,,,,,,,,,
01/11/2011,CromoUp,raised funds from,- Confrapar,ND,,,,,,,,,,,,,,,,,,,,
01/11/2011,GetNinjas,raised funds from,- Kaszek Ventures,ND,,,,,,,,,,,,,,,,,,,,
01/10/2011,Bolsa de Mulher,merged with,- E-media,ND,,,,,,,,,,,,,,,,,,,,
01/10/2011,Mercado.etc,raised funds from,- A5 Investimentos,ND,,,,,,,,,,,,,,,,,,,,
01/10/2011,Oppa,raised funds from,"- Kaszek Ventures
   - Fernanda Feitosa
   - Thrive Capital
   - Monashees Capital",ND,,,,,,,,,,,,,,,,,,,,
01/10/2011,Elo7,raised funds from,"- Accel Partners
   - Monashees Capital",ND,,,,,,,,,,,,,,,,,,,,
01/10/2011,Ideias.me,raised funds from,,ND,,,,,,,,,,,,,,,,,,,,
01/09/2011,Brandship,incubated by,21212,"BRL 20,000",,,,,,,,,,,,,,,,,,,,
01/09/2011,Ainda Tem,incubated by,21212,"BRL 20,000",,,,,,,,,,,,,,,,,,,,
01/09/2011,Bloompa,incubated by,-21212,"BRL 20,000",,,,,,,,,,,,,,,,,,,,
01/09/2011,ResolveAí,incubated by,-21212,"BRL 20,000",,,,,,,,,,,,,,,,,,,,
01/09/2011,Simpply,incubated by,-21212,"BRL 20,000",,,,,,,,,,,,,,,,,,,,
01/09/2011,Pagpop,incubated by,-21212,"BRL 20,000",,,,,,,,,,,,,,,,,,,,
01/09/2011,iTrip,incubated by,-21212,"BRL 20,000",,,,,,,,,,,,,,,,,,,,
01/09/2011,Igluu,incubated by,-21212,"BRL 20,000",,,,,,,,,,,,,,,,,,,,
01/09/2011,Helpin,incubated by,-21212,"BRL 20,000",,,,,,,,,,,,,,,,,,,,
01/09/2011,Craques.com,incubated by,-21212,"BRL 20,000",,,,,,,,,,,,,,,,,,,,
01/09/2011,Livebuzz,raised funds from,- Dinamize,BRL,,,,,,,,,,,,,,,,,,,,
01/09/2011,SaferTaxi,raised funds from,"- Kaszek Ventures
   - Draper Associates","USD 1,000,000",,,,,,,,,,,,,,,,,,,,
01/09/2011,Shoes4You,raised funds from,"- Accel Partners
   - Redpoint Ventures",ND,,,,,,,,,,,,,,,,,,,,
01/09/2011,GetNinjas,raised funds from,- Monashees Capital,ND,,,,,,,,,,,,,,,,,,,,
01/09/2011,Olook,raised funds from,- Monashees Capital,ND,,,,,,,,,,,,,,,,,,,,
01/09/2011,Videolog,was acquired by,- SambaTech,ND,,,,,,,,,,,,,,,,,,,,
01/09/2011,RestauranteWeb,was acquired by,- Just-Eat,ND,,,,,,,,,,,,,,,,,,,,
01/08/2011,Tricae,incubated by,- Rocket Internet,ND,,,,,,,,,,,,,,,,,,,,
01/08/2011,Airu,incubated by,- Rocket Internet,ND,,,,,,,,,,,,,,,,,,,,
01/08/2011,Kanui,incubated by,- Rocket Internet,ND,,,,,,,,,,,,,,,,,,,,
01/08/2011,Mobly,incubated by,- Rocket Internet,ND,,,,,,,,,,,,,,,,,,,,
01/08/2011,iFood,raised funds from,- Warehouse Investimentos,"BRL 3,000,000",,,,,,,,,,,,,,,,,,,,
01/08/2011,Urbanizo,raised funds from,- Buscapé,"BRL 300,000",,,,,,,,,,,,,,,,,,,,
01/08/2011,Hotmart,raised funds from,- Buscapé,"BRL 300,000",,,,,,,,,,,,,,,,,,,,
01/08/2011,MeuCarrinho,raised funds from,- Buscapé,"BRL 300,000",,,,,,,,,,,,,,,,,,,,
01/08/2011,Anuncie.la,raised funds from,- Buscapé,"BRL 300,000",,,,,,,,,,,,,,,,,,,,
01/08/2011,Dualtec,raised funds from,- Astella,ND,,,,,,,,,,,,,,,,,,,,
01/08/2011,Axado,raised funds from,- Jacard Investimentos,ND,,,,,,,,,,,,,,,,,,,,
01/07/2011,ViajaNet,raised funds from,"- Redpoint Ventures
   - General Catalyst","USD 19,000,000",,,,,,,,,,,,,,,,,,,,
01/07/2011,Grupo Xangô,raised funds from,"- eVentures
   - Index Ventures eHighland Capital
   - Redpoint Ventures","USD 6,000,000",,,,,,,,,,,,,,,,,,,,
01/07/2011,Omnilogic,raised funds from,- Naspers,ND,,,,,,,,,,,,,,,,,,,,
01/07/2011,Virid,was acquired by,- Experian,ND,,,,,,,,,,,,,,,,,,,,
01/06/2011,CapsDOC,incubated by,- Startup Chile,"USD 40,000",,,,,,,,,,,,,,,,,,,,
01/06/2011,JobConvo,incubated by,- Startup Chile,"USD 40,000",,,,,,,,,,,,,,,,,,,,
01/06/2011,Novelo,incubated by,- Startup Chile,"USD 40,000",,,,,,,,,,,,,,,,,,,,
01/06/2011,Zuggi,incubated by,- Startup Chile,"USD 40,000",,,,,,,,,,,,,,,,,,,,
01/06/2011,Regrupe,merged with,- ApontaOfertas,ND,,,,,,,,,,,,,,,,,,,,
01/06/2011,Dafiti,raised funds from,"- Rocket Internet
   - Holtzbrinck","BRL 35,000,000",,,,,,,,,,,,,,,,,,,,
01/06/2011,Glossybox,raised funds from,"- Rocket Internet
   - Holtzbrinck",ND,,,,,,,,,,,,,,,,,,,,
01/06/2011,Kekanto,raised funds from,"- Florian Otto
   - Vinicius Marchini",ND,,,,,,,,,,,,,,,,,,,,
01/06/2011,Peixe Urbano,raised funds from,"- General Atlantic
   - Tiger Global Management",ND,,,,,,,,,,,,,,,,,,,,
01/06/2011,Folhamatic,raised funds from,- Insight Venture Partners,ND,,,,,,,,,,,,,,,,,,,,
01/06/2011,Compare123,raised funds from,- Internet24,ND,,,,,,,,,,,,,,,,,,,,
01/06/2011,Ikeda,was acquired by,- Rakuten,ND,,,,,,,,,,,,,,,,,,,,
01/05/2011,O2 Games,raised funds from,- Bossa Nova,ND,,,,,,,,,,,,,,,,,,,,
01/05/2011,"Best, Cool & Fun Games",raised funds from,"- ArpexCapital
   - Madrone
   - Daniel Gutenberg",ND,,,,,,,,,,,,,,,,,,,,
01/05/2011,SiteBlindado,raised funds from,- ArpexCapital,ND,,,,,,,,,,,,,,,,,,,,
01/05/2011,Braspag,was acquired by,- Cielo,"BRL 40,000,000",,,,,,,,,,,,,,,,,,,,
01/05/2011,Hi-Midia,was acquired by,- RBS,ND,,,,,,,,,,,,,,,,,,,,
01/05/2011,BoaCompra,was acquired by,- UOL,ND,,,,,,,,,,,,,,,,,,,,
01/05/2011,Clickon,was acquired by,- Globo Mosaico,ND,,,,,,,,,,,,,,,,,,,,
01/04/2011,HelpSaude,raised funds from,- Astella,ND,,,,,,,,,,,,,,,,,,,,
01/04/2011,ZoeMob.com,raised funds from,- Cassio Spina,ND,,,,,,,,,,,,,,,,,,,,
01/04/2011,Hotel Urbano,raised funds from,- Insight Venture Partners,ND,,,,,,,,,,,,,,,,,,,,
01/04/2011,Meritia,raised funds from,- Aorta,ND,,,,,,,,,,,,,,,,,,,,
01/04/2011,Power.com,shut down,,ND,,,,,,,,,,,,,,,,,,,,
01/03/2011,Kabum,raised funds from,- Insight Venture Partners,ND,,,,,,,,,,,,,,,,,,,,
01/03/2011,OQVestir,raised funds from,"- Tiger Global Management
   - Kaszek Ventures",ND,,,,,,,,,,,,,,,,,,,,
01/02/2011,Tutudo,raised funds from,- Bossa Nova,ND,,,,,,,,,,,,,,,,,,,,
01/02/2011,Navegg,was acquired by,- Buscapé,ND,,,,,,,,,,,,,,,,,,,,
01/01/2011,Baby.com.br,raised funds from,"- Tiger Global Management
   - SV Angel
   - Chamath Palihapitiya
   - Felicis Ventures
   - Monashees Capital","USD 4,000,000",,,,,,,,,,,,,,,,,,,,
01/01/2011,Netcom,raised funds from,- Confrapar,ND,,,,,,,,,,,,,,,,,,,,
01/01/2011,Peixe Urbano,raised funds from,- Benchmark Capital,ND,,,,,,,,,,,,,,,,,,,,
01/01/2011,Mobjoy,raised funds from,- Monashees Capital,ND,,,,,,,,,,,,,,,,,,,,
01/01/2011,tryoop,raised funds from,- Astella,ND,,,,,,,,,,,,,,,,,,,,
01/01/2011,PetLove (petsupermarket),raised funds from,"- Tiger Global Management
   - Kaszek Ventures
   - Monashees Capital",ND,,,,,,,,,,,,,,,,,,,,
01/01/2011,Belezanaweb,raised funds from,"- Tiger Global Management
   - Kaszek Ventures",ND,,,,,,,,,,,,,,,,,,,,
01/01/2011,Amanaie,shut down,,ND,,,,,,,,,,,,,,,,,,,,
30/12/2010,UOL,was acquired by,Folhapar,ND,29%,"http://www.estadao.com.br/noticias/geral,portugal-telecom-vende-fatia-no-uol-para-fundador-da-hypermarcas,659832",Portugal Telecom vendendo para comprar parte da Oi,,,,,,,,,,,,,,,,,
01/12/2010,Diveo,was acquired by,- UOL,"BRL 693,000,000",,,,,,,,,,,,,,,,,,,,
01/12/2010,Media Factory,was acquired by,- LeadMedia,"BRL 9,000,000",,,,,,,,,,,,,,,,,,,,
01/12/2010,NetMovies,was acquired by,- Tiger Global Management,"USD 7,000,000",,,,,,,,,,,,,,,,,,,,
01/11/2010,boo-box,raised funds from,- Intel Capital,USD,,,,,,,,,,,,,,,,,,,,
01/11/2010,Vostu,raised funds from,"- Accel Partners
   - Tiger Global Management","USD 30,000,000",,,,,,,,,,,,,,,,,,,,
01/11/2010,Netshoes,raised funds from,- Tiger Global Management,ND,,,,,,,,,,,,,,,,,,,,
01/11/2010,Coquelux,raised funds from,- Intel Capital,ND,,,,,,,,,,,,,,,,,,,,
01/10/2010,DeskMetrics,raised funds from,,"USD 200,000",,,,,,,,,,,,,,,,,,,,
01/10/2010,Privalia,raised funds from,"- General Atlantic
   - Index Ventures eHighland Capital",ND,,,,,,,,,,,,,,,,,,,,
01/10/2010,Sieve,raised funds from,- ArpexCapital,ND,,,,,,,,,,,,,,,,,,,,
01/10/2010,m4u,was acquired by,Cielo - ABNote,"R$ 80,100,000 ","por 80,1%",,,,,,,,,,,,,,,,,,,
01/09/2010,Locaweb,raised funds from,- SilverLake,ND,,,,,,,,,,,,,,,,,,,,
01/09/2010,Saveme,was acquired by,- Buscapé,ND,,,,,,,,,,,,,,,,,,,,
01/08/2010,EzLearn,raised funds from,- Galícia Investimentos,ND,,,,,,,,,,,,,,,,,,,,
01/08/2010,Mentez,raised funds from,- Insight Venture Partners,ND,,,,,,,,,,,,,,,,,,,,
01/08/2010,EBehavior,was acquired by,- Buscapé,ND,,,,,,,,,,,,,,,,,,,,
01/07/2010,Chaordic,raised funds from,- DLM,ND,,,,,,,,,,,,,,,,,,,,
01/07/2010,Canal do Crédito,raised funds from,- Confrapar,ND,,,,,,,,,,,,,,,,,,,,
01/06/2010,Vostu,raised funds from,"- Intel Capital
   - General Catalyst","USD 12,000,000",,,,,,,,,,,,,,,,,,,,
01/06/2010,Descomplica,raised funds from,- Gávea Angels,ND,,,,,,,,,,,,,,,,,,,,
01/05/2010,Brandsclub,raised funds from,- Naspers,"USD 17,000,000",,,,,,,,,,,,,,,,,,,,
01/05/2010,Clickon,raised funds from,"- Klaus Hommels
   - Oliver Jung
   - A5 Investimentos","USD 17,000,000",,,,,,,,,,,,,,,,,,,,
01/05/2010,ePrimeCare,raised funds from,- Confrapar,ND,,,,,,,,,,,,,,,,,,,,
01/03/2010,Peixe Urbano,raised funds from,- Monashees Capital,ND,,,,,,,,,,,,,,,,,,,,
01/03/2010,Alugue Temporada,was acquired by,- HomeAway,ND,,,,,,,,,,,,,,,,,,,,
01/01/2010,Navegg,raised funds from,- Astella,ND,,,,,,,,,,,,,,,,,,,,
01/12/2009,softaware.emp.br,raised funds from,- Programa PRIME,"BRL 120,000",,,,,,,,,,,,,,,,,,,,
01/12/2009,Vostu,raised funds from,- Intel Capital,"USD 2,590,000",,,,,,,,,,,,,,,,,,,,
01/10/2009,Insite,was acquired by,- UOL,ND,,,,,,,,,,,,,,,,,,,,
01/09/2009,MoIP,raised funds from,- IDNT,ND,,,,,,,,,,,,,,,,,,,,
01/09/2009,Buscapé,was acquired by,- Naspers,"USD 342,000,000",,,,,,,,,,,,,,,,,,,,
01/06/2009,Hotwords,was acquired by,- CanalMail,ND,,,,,,,,,,,,,,,,,,,,
01/05/2009,BoldCron,was acquired by,- UOL,ND,,,,,,,,,,,,,,,,,,,,
01/03/2009,Amanaie,raised funds from,- Michael Nicklas,ND,,,,,,,,,,,,,,,,,,,,
01/03/2009,DHC,was acquired by,- UOL,ND,,,,,,,,,,,,,,,,,,,,
01/01/2009,SambaTech,raised funds from,"- DFJ
   - FIR Capital","USD 3,000,000",,,,,,,,,,,,,,,,,,,,
01/01/2009,CorpoPerfeito,raised funds from,- Endurance,ND,,,,,,,,,,,,,,,,,,,,
01/01/2009,Bookess,raised funds from,- Floripa Angels,ND,,,,,,,,,,,,,,,,,,,,
01/12/2008,Compra3,raised funds from,"- Michael Nicklas
   - Carlos Nissel
   - Daniel Tinoco","USD 1,000,000",,,,,,,,,,,,,,,,,,,,
01/12/2008,TrueTech,raised funds from,- Intel Capital,ND,,,,,,,,,,,,,,,,,,,,
01/11/2008,WebCo,merged with,- Abril Digital,ND,,,,,,,,,,,,,,,,,,,,
01/11/2008,Sack's,raised funds from,- Albatroz Participações,"BRL 16,000,000",,,,,,,,,,,,,,,,,,,,
01/11/2008,Guiadasemana,was acquired by,- RBS,ND,,,,,,,,,,,,,,,,,,,,
01/11/2008,ObaOba,was acquired by,- RBS,ND,,,,,,,,,,,,,,,,,,,,
01/11/2008,pontomobi,was acquired by,- RBS,ND,,,,,,,,,,,,,,,,,,,,
01/09/2008,WebCo,raised funds from,- Naspers,ND,,,,,,,,,,,,,,,,,,,,
