Data,Startup,O que,Investidor,Valor,
1/1/2013,Meia Bandeirada,raised funds from,Plug n' Work,,
1/1/2013,Kekanto,raised funds from,W7 Brazil Capital,,
1/1/2013,ContaAzul,raised funds from,"Monashees Capital
Napkn Ventures
Ribbit Capital",,
12/1/2012,Hand Talk,raised funds from,João Kepler Braga,"BRL 1,000,000",
12/1/2012,Evenka,raised funds from,Harpia Ventures,,
12/1/2012,VitrinePix,raised funds from,"e.Bricks Digital
Astor Group",,
12/1/2012,Murally,raised funds from,NXTP Labs,"USD 123,000",
12/1/2012,Lema21,raised funds from,"Chamath Palihapitiya
Social+Capital Partnership
Ted Maidenberg
Romero Rodrigues
Luis Mario Bilenky","USD 1,600,000",
12/1/2012,Giver,raised funds from,HFPX Participações,,
12/1/2012,Viva Real,raised funds from,"Kaszek Ventures
Monashees Capital
Valiant Capital Partners","BRL 30,000,000",
12/1/2012,Sophie & Juliete,raised funds from,Redpoint e.ventures,,
12/1/2012,Itaro,raised funds from,"Rising Venture
Simile Venture Partners
Unique Partners",$394.00,
12/1/2012,Hotelli,raised funds from,"Polaris Investimentos
Lab22
Garan Ventures
NH Investimentos",$395.00,
12/1/2012,Descomplica,raised funds from,"500 Startups
Valor Capital
Valar Ventures
El Area
Social+Capital Partnership",$396.00,
12/1/2012,Dafiti,raised funds from,"AB Kinnevik
Quadrant Capital Advisors
Summit Partners","BRL 135,000,000",
12/1/2012,Netcom,raised funds from,Confrapar,,
11/1/2012,LottoStars,raised funds from,Tony Perkins,"USD 700,000",
11/1/2012,Imovelweb,raised funds from,Riverwood Capital,"USD 30,000,000",
11/1/2012,Canal do Crédito,raised funds from,GRPCOM,"BRL 30,000,000",
11/1/2012,Go2neXt,raised funds from,KB7,"BRL 3,000,000",
11/1/2012,Zap Saúde,raised funds from,Luis Carlos Freitas,,
11/1/2012,Kidbox,raised funds from,NXTP Labs,"USD 25,000",
11/1/2012,Shopperception,raised funds from,NXTP Labs,"USD 25,000",
11/1/2012,Good People,raised funds from,NXTP Labs,"USD 25,000",
11/1/2012,Emprego Ligado,raised funds from,"500 Startups
Fortify.vc
Initial Capital
Rising Venture",,
11/1/2012,Tuilux,raised funds from,Astella,,
11/1/2012,Eventials,raised funds from,Locaweb,,
11/1/2012,Moblife,raised funds from,Astella,,
11/1/2012,RockBee,incubated by,Wayra Brasil,"USD 50,000",
11/1/2012,Super Lead,raised funds from,Mountain do Brasil,"BRL 1,000,000",
10/1/2012,Cuponomia,raised funds from,500 Startups,,
10/1/2012,Área Central,raised funds from,HFPX Participações,,
10/1/2012,Woopi,was acquired by,Stefanini,,
10/1/2012,Amo Muito,raised funds from,Ideiasnet,,
10/1/2012,Veduca,raised funds from,"500 Startups
Mountain do Brasil","BRL 1,500,000",
10/1/2012,Axado,raised funds from,Fundo SC,,
10/1/2012,OQVestir,raised funds from,Tiger Global Management,,
10/1/2012,Easy Taxi,raised funds from,Rocket Internet,"BRL 10,000,000",
10/1/2012,Qual Canal,incubated by,500 Startups,"USD 50,000",
10/1/2012,Foome,raised funds from,HFPX Participações,,
10/1/2012,BuyOnSocial,raised funds from,DBR.ag,"BRL 600,000",
10/1/2012,Pagpop,raised funds from,Intel Capital,,
10/1/2012,ZeroPaper,raised funds from,21212,,
9/1/2012,NovaProlink,was acquired by,Thomson Reuters,,
9/1/2012,Mala Pronta,was acquired by,TUI Travel,,
9/1/2012,MeCasar,raised funds from,HFPX Participações,,
9/1/2012,NeoAssist,raised funds from,Green Technology,"BRL 7,000,000",
10/1/2012,Oppa,raised funds from,"Kaszek Ventures
Peter Thiel
Thrive Capital
Monashees Capital
Ribbit Capital","USD 10,470,000",
9/1/2012,Cenize,was acquired by,Sage,"BRL 12,900,000",
9/1/2012,EBS,was acquired by,Sage,"BRL 35,000,000",
9/1/2012,Gateshop,raised funds from,NXTP Labs,"USD 25,000",
9/1/2012,Minuto Seguros,raised funds from,Redpoint e.ventures,,
9/1/2012,Woowup,raised funds from,NXTP Labs,"USD 25,000",
9/1/2012,Poolami,raised funds from,NXTP Labs,"USD 25,000",
9/1/2012,Last Room,raised funds from,NXTP Labs,"USD 25,000",
9/1/2012,Attender,raised funds from,NXTP Labs,"USD 25,000",
9/1/2012,Red Innova,raised funds from,NXTP Labs,"USD 25,000",
9/1/2012,Citaldoc,raised funds from,NXTP Labs,"USD 25,000",
9/1/2012,Logan,raised funds from,NXTP Labs,"USD 25,000",
9/1/2012,Flare 3D,raised funds from,NXTP Labs,"USD 25,000",
9/1/2012,GuideCentral,raised funds from,NXTP Labs,"USD 25,000",
9/1/2012,Alma Shopping,raised funds from,NXTP Labs,"USD 25,000",
9/1/2012,Twyxt,raised funds from,NXTP Labs,"USD 25,000",
9/1/2012,Populy Games,raised funds from,NXTP Labs,"USD 25,000",
9/1/2012,Shopcliq,was acquired by,Buscapé,,
9/1/2012,Peela,raised funds from,Trindade Investimentos,,
9/1/2012,Pixeon,merged with,Medical Systems,,
9/1/2012,Pixeon,raised funds from,Intel Capital,,
8/1/2012,Lets,raised funds from,RBS,,
8/1/2012,Movere,was acquired by,Idea.me,,
8/1/2012,Dafiti,raised funds from,JPMorgan Asset Management,"BRL 90,000,000",
8/1/2012,Runrun.it,raised funds from,"Antonio Carlos Soares
Patrick Lisbona",,
8/1/2012,Vostu,raised funds from,"General Catalyst
Intel Capital
Tiger Global Management",,
8/1/2012,Listus,raised funds from,"Devise
Polaris Investimentos",,
8/1/2012,Locamob,raised funds from,"Christian Gessner
Stefan Schimenes",,
8/1/2012,Elike,raised funds from,Intel Capital,,
8/1/2012,Realtime,raised funds from,BRZTech Holding,"USD 100,000,000",
8/1/2012,Appies,raised funds from,Trindade Investimentos,,
7/1/2012,Dabee,raised funds from,Monashees Capital,,
7/1/2012,VestesBR,raised funds from,Diether Werninghaus,"BRL 5,000,000",
8/1/2012,eÓtica,raised funds from,"Kai Schoppen
Kaszek Ventures",,
7/1/2012,Bixti,was acquired by,Elo7,,
7/1/2012,Profite,was acquired by,CookieWeb,"BRL 3,200,000",
8/1/2012,Printi,raised funds from,"Kai Schoppen
Greekoaks Capital
Joe Lonsdale
Peter Fernandez
Fabrice Grinda
Florian Otto","BRL 2,500,000",
7/1/2012,Oktagon Games,raised funds from,Confrapar,"BRL 2,000,000",
7/1/2012,MadeiraMadeira,raised funds from,"Kaszek Ventures
Flybridge Capital
Niraj Shah
Christian Friedland
Monashees Capital",,
7/1/2012,Guiato,raised funds from,"A5 Investimentos
Flavio Jansen",,
7/1/2012,Properati,incubated by,NXTP Labs,"USD 25,000",
7/1/2012,Bixti,incubated by,NXTP Labs,"USD 25,000",
7/1/2012,Idea.me,incubated by,NXTP Labs,"USD 25,000",
7/1/2012,FormaFina,incubated by,NXTP Labs,"USD 125,000",
6/1/2012,Donde Voy,raised funds from,,"BRL 100,000",
6/1/2012,Folhamatic,was acquired by,Sage,"BRL 398,000,000",
6/1/2012,Pixowl,raised funds from,NXTP Labs,"USD 25,000",
6/1/2012,Juv&You,raised funds from,"Florian Otto
Kai Schoppen
ru-Net",,
6/1/2012,Netshoes,raised funds from,Temasek Holdings,"BRL 135,000,000",
6/1/2012,Unipay,raised funds from,500 Startups,,
6/1/2012,Baby.com.br,raised funds from,"Tiger Global Management
Menlo Ventures
Valor Capital
Accel Partners","USD 16,000,000",
6/1/2012,Consulta Remédios,was acquired by,Grupo Codal,,
6/1/2012,Flores Online,raised funds from,"BR Opportunities
1800-flowers",,
5/1/2012,Murally,raised funds from,NXTP Labs,"USD 25,000",
5/1/2012,HelpSaude,raised funds from,Kaszek Ventures,,
5/1/2012,emotion.me,raised funds from,Harpia Ventures,"USD 250,000",
4/1/2012,Whapp,merged with,Imaginareality,,
4/1/2012,Minha Vida,raised funds from,"Intel Capital
Catalyst",,
4/1/2012,Softcorp,was acquired by,Techresult,"BRL 15,000,000",
4/1/2012,Ceviu,was acquired by,CareerBuilder,,
4/1/2012,Vtex,raised funds from,Naspers,,
3/1/2012,Forma Fina,raised funds from,NXTP Labs,"USD 25,000",
3/1/2012,YepDoc,raised funds from,Rocket Internet,,
3/1/2012,Sophie & Juliete,raised funds from,"Redpoint e.ventures
IG Expansion",,
3/1/2012,21 diamonds,raised funds from,Rocket Internet,,
3/1/2012,Zocprint,raised funds from,Rocket Internet,,
3/1/2012,Mandic,raised funds from,Riverwood Capital,"USD 100,000,000",
3/1/2012,O Entregador,was acquired by,Peixe Urbano,,
3/1/2012,Groupalia,was acquired by,Peixe Urbano,,
3/1/2012,Wabbers,raised funds from,IVP,,
3/1/2012,Elo7,raised funds from,Insight Venture Partners,,
3/1/2012,Fisgo,raised funds from,Confrapar,"BRL 2,000,000",
3/1/2012,Ningo,raised funds from,Cassio Spina,,
3/1/2012,Evobooks,raised funds from,Plataforma Capital,,
2/1/2012,iBillionaire,raised funds from,NXTP Labs,"USD 25,000",
2/1/2012,Ring Captcha,raised funds from,NXTP Labs,"USD 25,000",
2/1/2012,Coquelux,raised funds from,Intel Capital,,
2/1/2012,BebêStore,raised funds from,Atomico,"USD 2,000,000",
2/1/2012,Cidade Internet,was acquired by,Populis,,
2/1/2012,Starline,raised funds from,Confrapar,,
2/1/2012,Pixeon,raised funds from,Intel Capital,,
2/1/2012,Zuppa,was acquired by,Peixe Urbano,,
2/1/2012,Fashion.me,raised funds from,Intel Capital,,
1/1/2012,Kwan,raised funds from,NXTP Labs,"USD 25,000",
2/1/2012,MT Performance,raised funds from,"BDMI
eVentures",,
2/1/2012,Restorando,raised funds from,"Kaszek Ventures
Atomico
Emergence Capital
Storm Ventures","USD 3,000,000",
2/1/2012,Viva Real,raised funds from,"Greg Waldorf
Simon Baker
Shaun Di Gregorio
Wences Casares
Micky Malka
Ariel Poler
Gordon Rubenstein
500 Startups
Jeff Fluhr
Errol Damelin
Florian Otto
Monashees Capital
Kaszek Ventures",,
1/1/2012,Groovinads,raised funds from,NXTP Labs,"USD 25,000",
1/1/2012,Glamit,raised funds from,NXTP Labs,"USD 25,000",
1/1/2012,Loogares,raised funds from,NXTP Labs,"USD 25,000",
1/1/2012,LookUp,raised funds from,NXTP Labs,"USD 25,000",
1/1/2012,T-Art,raised funds from,NXTP Labs,"USD 25,000",
1/1/2012,Urbita,raised funds from,NXTP Labs,"USD 25,000",
1/1/2012,The Fan Machine,raised funds from,NXTP Labs,"USD 25,000",
1/1/2012,Connectparts,raised funds from,Atomico,"USD 7,000,000",
1/1/2012,Hipxik,shut down,,,
1/1/2012,Aorta,was acquired by,Grupo.Mobi,,
1/1/2012,Resolva.me,was acquired by,Buscapé,,
1/1/2012,Ideiasnet,raised funds from,Liberty Media,,
1/1/2012,Peixe Urbano,raised funds from,"General Atlantic
Tiger Global Management
Morgan Stanley
T. Rowe Price Associates",,
12/1/2011,Saútil,raised funds from,"Village Capital
Vox Capital","BRL 100,000",
12/1/2011,Banco Pérola,raised funds from,"Village Capital
Vox Capital","BRL 100,000",
12/1/2011,Apontador,raised funds from,LBS Local,"BRL 10,000,000",
12/1/2011,QMágico,raised funds from,"Village Capital
Vox Capital","BRL 100,000",
12/1/2011,Predicta,raised funds from,RBS,,
12/1/2011,Myreks,raised funds from,Fundo SC,,
12/1/2011,Yupi Studios,raised funds from,Tapjoy,,
11/1/2011,Jampp,raised funds from,NXTP Labs,"USD 25,000",
11/1/2011,Checkout10,incubated by,Startup Chile,"USD 40,000",
11/1/2011,Yupi Studios,incubated by,Startup Chile,"USD 40,000",
11/1/2011,Kekanto,raised funds from,"Accel Partners
Kaszek Ventures",,
11/1/2011,Grubster,raised funds from,Plataforma Capital,,
11/1/2011,GetNinjas,raised funds from,Kaszek Ventures,,
11/1/2011,Pinspire,raised funds from,Rocket Internet,,
11/1/2011,GPNX,incubated by,Startup Chile,"USD 40,000",
11/1/2011,Baby.com.br,raised funds from,"Angélica
Luciano Huck",,
11/1/2011,Bússola do Investidor,incubated by,Startup Chile,"USD 40,000",
11/1/2011,DeskMetrics,incubated by,Startup Chile,"USD 40,000",
10/1/2011,Ideias.me,raised funds from,,,
11/1/2011,CromoUp,raised funds from,Confrapar,,
10/1/2011,Bolsa de Mulher,merged with,E-media,,
10/1/2011,Mercado.etc,raised funds from,A5 Investimentos,,
10/1/2011,Oppa,raised funds from,"Kaszek Ventures
Fernanda Feitosa
Thrive Capital
Monashees Capital",,
10/1/2011,Elo7,raised funds from,"Accel Partners
Monashees Capital",,
9/1/2011,Livebuzz,raised funds from,Dinamize,BRL,
9/1/2011,Shoplins,raised funds from,NXTP Labs,"USD 25,000",
9/1/2011,ComentaTV,raised funds from,NXTP Labs,"USD 25,000",
9/1/2011,YoQueVos,raised funds from,NXTP Labs,"USD 25,000",
9/1/2011,FactoryAR,raised funds from,NXTP Labs,"USD 25,000",
9/1/2011,WeHostels,raised funds from,NXTP Labs,"USD 25,000",
9/1/2011,Tienda Nube,raised funds from,NXTP Labs,"USD 25,000",
9/1/2011,Oony,raised funds from,NXTP Labs,"USD 25,000",
9/1/2011,Ideame,raised funds from,NXTP Labs,"USD 25,000",
9/1/2011,Intiza,raised funds from,NXTP Labs,"USD 25,000",
9/1/2011,Afluenta,raised funds from,NXTP Labs,"USD 25,000",
9/1/2011,Trendsetter,raised funds from,NXTP Labs,"USD 25,000",
9/1/2011,The Social Radio,raised funds from,NXTP Labs,"USD 25,000",
9/1/2011,Brandship,incubated by,21212,"BRL 20,000",
9/1/2011,Craques.com,incubated by,21212,"BRL 20,000",
9/1/2011,Helpin,incubated by,21212,"BRL 20,000",
9/1/2011,Igluu,incubated by,21212,"BRL 20,000",
9/1/2011,iTrip,incubated by,21212,"BRL 20,000",
9/1/2011,Pagpop,incubated by,21212,"BRL 20,000",
9/1/2011,ResolveAí,incubated by,21212,"BRL 20,000",
9/1/2011,Simpply,incubated by,21212,"BRL 20,000",
9/1/2011,Olook,raised funds from,Monashees Capital,,
9/1/2011,SaferTaxi,raised funds from,"Kaszek Ventures
Draper Associates","USD 1,000,000",
9/1/2011,Ainda Tem,incubated by,21212,"BRL 20,000",
9/1/2011,GetNinjas,raised funds from,Monashees Capital,,
9/1/2011,RestauranteWeb,was acquired by,Just-Eat,,
9/1/2011,Bloompa,incubated by,21212,"BRL 20,000",
9/1/2011,Videolog,was acquired by,SambaTech,,
8/1/2011,Kanui,incubated by,Rocket Internet,,
8/1/2011,Airu,incubated by,Rocket Internet,,
8/1/2011,Dualtec,raised funds from,Astella,,
8/1/2011,Anuncie.la,raised funds from,Buscapé,"BRL 300,000",
8/1/2011,Hotmart,raised funds from,Buscapé,"BRL 300,000",
8/1/2011,MeuCarrinho,raised funds from,Buscapé,"BRL 300,000",
8/1/2011,Urbanizo,raised funds from,Buscapé,"BRL 300,000",
8/1/2011,Axado,raised funds from,Jacard Investimentos,,
8/1/2011,iFood,raised funds from,Warehouse Investimentos,"BRL 3,000,000",
8/1/2011,Tricae,incubated by,Rocket Internet,,
8/1/2011,Mobly,incubated by,Rocket Internet,,
7/1/2011,Virid,was acquired by,Experian,,
7/1/2011,Omnilogic,raised funds from,Naspers,,
7/1/2011,ViajaNet,raised funds from,"Redpoint e.ventures
General Catalyst","USD 19,000,000",
6/1/2011,Folhamatic,raised funds from,Insight Venture Partners,,
6/1/2011,Ikeda,was acquired by,Rakuten,,
7/1/2011,Grupo Xangô,raised funds from,"Redpoint e.ventures
eVentures
Index Ventures eHighland Capital","USD 6,000,000",
6/1/2011,Zuggi,incubated by,Startup Chile,"USD 40,000",
6/1/2011,Dafiti,raised funds from,"Rocket Internet
Holtzbrinck","BRL 35,000,000",
6/1/2011,Novelo,incubated by,Startup Chile,"USD 40,000",
6/1/2011,JobConvo,incubated by,Startup Chile,"USD 40,000",
6/1/2011,CapsDOC,incubated by,Startup Chile,"USD 40,000",
6/1/2011,Glossybox,raised funds from,"Rocket Internet
Holtzbrinck",,
6/1/2011,Regrupe,merged with,ApontaOfertas,,
6/1/2011,Kekanto,raised funds from,"Florian Otto
Vinicius Marchini",,
6/1/2011,Compare123,raised funds from,Internet24,,
6/1/2011,Peixe Urbano,raised funds from,"General Atlantic
Tiger Global Management",,
5/1/2011,BoaCompra,was acquired by,UOL,,
5/1/2011,Hi-Midia,was acquired by,RBS,,
5/1/2011,O2 Games,raised funds from,Bossa Nova,,
5/1/2011,"Best, Cool & Fun Games",raised funds from,"Madrone
Daniel Gutenberg
ArpexCapital",,
5/1/2011,Braspag,was acquired by,Cielo,"BRL 40,000,000",
5/1/2011,SiteBlindado,raised funds from,ArpexCapital,,
5/1/2011,Clickon,was acquired by,Globo Mosaico,,
4/1/2011,HelpSaude,raised funds from,Astella,,
4/1/2011,Power.com,shut down,,,
4/1/2011,Hotel Urbano,raised funds from,Insight Venture Partners,,
4/1/2011,ZoeMob.com,raised funds from,Cassio Spina,,
4/1/2011,Meritia,raised funds from,Aorta,,
3/1/2011,Kabum,raised funds from,Insight Venture Partners,,
3/1/2011,OQVestir,raised funds from,"Kaszek Ventures
Tiger Global Management",,
2/1/2011,Tutudo,raised funds from,Bossa Nova,,
2/1/2011,Navegg,was acquired by,Buscapé,,
1/1/2011,Netcom,raised funds from,Confrapar,,
1/1/2011,Peixe Urbano,raised funds from,Benchmark Capital,,
1/1/2011,tryoop,raised funds from,Astella,,
1/1/2011,Mobjoy,raised funds from,Monashees Capital,,
1/1/2011,Amanaie,shut down,,,
1/1/2011,Beleza na Web,raised funds from,"Tiger Global Management
Kaszek Ventures",,
12/1/2010,NetMovies,was acquired by,Tiger Global Management,"USD 7,000,000",
1/1/2011,Baby.com.br,raised funds from,"Tiger Global Management
SV Angel
Chamath Palihapitiya
Felicis Ventures
Monashees Capital","USD 4,000,000",
12/1/2010,Media Factory,was acquired by,LeadMedia,"BRL 9,000,000",
12/1/2010,Diveo,was acquired by,UOL,"BRL 693,000,000",
11/1/2010,Netshoes,raised funds from,Tiger Global Management,,
1/1/2011,PetLove (petsupermarket),raised funds from,"Tiger Global Management
Kaszek Ventures
Monashees Capital",,
11/1/2010,boo-box,raised funds from,Intel Capital,USD,
11/1/2010,Vostu,raised funds from,"Accel Partners
Tiger Global Management","USD 30,000,000",
11/1/2010,Coquelux,raised funds from,Intel Capital,,
10/1/2010,Sieve,raised funds from,ArpexCapital,,
10/1/2010,DeskMetrics,raised funds from,,"USD 200,000",
10/1/2010,Privalia,raised funds from,"General Atlantic
Index Ventures eHighland Capital","USD 95,000,000",
9/1/2010,Saveme,was acquired by,Buscapé,,
9/1/2010,Locaweb,raised funds from,SilverLake,,
8/1/2010,EzLearn,raised funds from,Galícia Investimentos,,
8/1/2010,Mentez,raised funds from,Insight Venture Partners,,
8/1/2010,EBehavior,raised funds from,Buscapé,,
7/1/2010,Chaordic,raised funds from,DLM,,
7/1/2010,Canal do Crédito,raised funds from,Confrapar,,
6/1/2010,Vostu,raised funds from,"General Catalyst
Intel Capital","USD 12,000,000",
6/1/2010,Descomplica,raised funds from,Gávea Angels,,
5/1/2010,Brandsclub,raised funds from,Naspers,"USD 17,000,000",
5/1/2010,ePrimeCare,raised funds from,Confrapar,,
3/1/2010,Peixe Urbano,raised funds from,Monashees Capital,,
5/1/2010,Clickon,raised funds from,"Klaus Hommels
Oliver Jung
A5 Investimentos","USD 17,000,000",
3/1/2010,Alugue Temporada,was acquired by,HomeAway,,
1/1/2010,Navegg,raised funds from,Astella,,
12/1/2009,softaware.emp.br,raised funds from,Programa PRIME,"BRL 120,000",
12/1/2009,Vostu,raised funds from,Intel Capital,"USD 2,590,000",
10/1/2009,Insite,was acquired by,UOL,,
9/1/2009,MoIP,raised funds from,IDNT,,
9/1/2009,Buscapé,was acquired by,Naspers,"USD 342,000,000",
7/1/2009,Scup,raised funds from,Plataforma Capital,,
6/1/2009,Hotwords,was acquired by,CanalMail,,
5/1/2009,BoldCron,was acquired by,UOL,,
3/1/2009,Amanaie,raised funds from,Michael Nicklas,,
3/1/2009,DHC,was acquired by,UOL,,
1/1/2009,Bookess,raised funds from,Floripa Angels,,
1/1/2009,CorpoPerfeito,raised funds from,Endurance,,
1/1/2009,SambaTech,raised funds from,"DFJ
FIR Capital","USD 3,000,000",
12/1/2008,TrueTech,raised funds from,Intel Capital,,
12/1/2008,Compra3,raised funds from,"Michael Nicklas
Carlos Nissel
Daniel Tinoco","USD 1,000,000",
11/1/2008,Sack's,raised funds from,Albatroz Participações,"BRL 16,000,000",
11/1/2008,WebCo,was acquired by,Abril Digital,,
11/1/2008,Guiadasemana,was acquired by,RBS,,
11/1/2008,ObaOba,was acquired by,RBS,,
11/1/2008,pontomobi,was acquired by,RBS,,
9/1/2008,WebCo,raised funds from,Naspers,,
9/1/2008,ComperaNTime,was acquired by,Naspers,,
6/1/2008,Vostu,raised funds from,Intel Capital,"USD 1,300,000",
2/1/2008,Power.com,raised funds from,Draper Fisher Jurvetson,,
2/1/2008,Digiweb,was acquired by,UOL,,
8/1/2008,Spring Wireless,raised funds from,"NEA
Goldman Sachs
IDNT","USD 56,000,000",
1/1/2008,BlogBlogs,was acquired by,"Abril Digital
Naspers",,
9/1/2007,Ikwa,raised funds from,Monashees Capital,,
7/1/2007,boo-box,raised funds from,Monashees Capital,"USD 300,000",
7/1/2007,BrPay,was acquired by,UOL,,
6/1/2007,Zura,raised funds from,IDNT,,
3/1/2007,Via6,raised funds from,Confrapar,"USD 500,000",
2/1/2006,BondFaro,raised funds from,Buscapé,,
7/1/2005,Akwan,was acquired by,Google,,
5/1/2004,IG,was acquired by,Brasil Telecom,"USD 100,000,000",
8/1/2002,Ibest,was acquired by,Brasil Telecom,"BRL 50,000,000",
2/1/2002,Webmotors,was acquired by,Banco Real,,
1/1/2002,Cadê,was acquired by,Yahoo,,
12/1/2001,Mlab,was acquired by,Cemex,"USD 36,000,000",
11/1/2001,Lokau,was acquired by,Brasil Telecom,,
7/1/2001,hpG,was acquired by,IG,,
6/1/2000,DirectTalk,raised funds from,Plataforma Capital,,
6/1/2000,Globo.com,raised funds from,Telecom Itália,"USD 865,000,000",
2/1/2000,Zipmail,was acquired by,Portugal Telecom,"USD 365,000,000",
2/1/2000,GuiaSP e GuiaRJ,was acquired by,Starmedia,,
11/1/1999,Nettrade,was acquired by,Patagon,,
10/1/1999,Buscapé,raised funds from,Anibal Messa,,
10/1/1999,Buscapé,raised funds from,Plataforma Capital,,
6/1/1999,ZAZ,was acquired by,Portugal Telecom,"USD 240,000,000",
6/1/1999,Miner,was acquired by,UOL,,
6/1/1999,Booknet,was acquired by,GP Investimentos,"USD 5,000,000",
4/1/1999,Cadê,was acquired by,Starmedia,"USD 13,000,000",
2/1/1999,Zeek!,was acquired by,Starmedia,"USD 810,000",
