NomeCandidato;NomeFornecedor;Valor;Descricao
JANIO MARIO PEREIRA SANTOS;ELEICAO 2014 JOSE LUIS SCHAFER DEPUTADO FEDERAL;285;REFERENTE A IMPRESSÌÄO GRAFICA DE SANTINHOS JANIO MARIO 30.000 UND
JANIO MARIO PEREIRA SANTOS;ELEICAO 2014 JOSE LUIS SCHAFER DEPUTADO FEDERAL;500;REFERENTE IMPRESSÌÄO GRÌFICA DE SANTINHOS FORMATO 6X9 CMS
JANIO MARIO PEREIRA SANTOS;ELEICAO 2014 JOSE LUIS SCHAFER DEPUTADO FEDERAL;163,46;REERENTE IMPRESSÌÄO GRAFICA DE 10.000 SANTINHOS FORMATO 7X10 CMS
JANIO MARIO PEREIRA SANTOS;ELEICAO 2014 JOSE LUIS SCHAFER DEPUTADO FEDERAL;161,75;REFERENTE IMPRESSÌÄO GRÌFICA DE SANTINHOS 
EDVALDO ALMEIDA DE OLIVEIRA;ELEICAO 2014 JOSE LUIS SCHAFER DEPUTADO FEDERAL;500;REFERENTE IMPRESSÌÄO GRÌFICA DE SANTINHOS FORMATO 6X9 CMS 
EDVALDO ALMEIDA DE OLIVEIRA;ELEICAO 2014 JOSE LUIS SCHAFER DEPUTADO FEDERAL;161,75;REFERENTE IMPRESSÌÄO GRÌFICA DE SANTINHOS 
EDVALDO ALMEIDA DE OLIVEIRA;ELEICAO 2014 JOSE LUIS SCHAFER DEPUTADO FEDERAL;251,08;REFERENTE A IMPRESSÌÄO GRAFICA DE 20.000 UNID DE SANTINHOS FORMATO 7X10 CMS 
HENRY ANTONIO SILVA NOGUEIRA;ELEICAO 2014 JOSE LUIS SCHAFER DEPUTADO FEDERAL;380;IMPRESSÌÄO GRAFICA DE SANTINHOS 
HENRY ANTONIO SILVA NOGUEIRA;ELEICAO 2014 JOSE LUIS SCHAFER DEPUTADO FEDERAL;161,75;REFERENTE IMPRESSÌÄO GRÌFICA DE SANTINHOS 
HENRY ANTONIO SILVA NOGUEIRA;ELEICAO 2014 JOSE LUIS SCHAFER DEPUTADO FEDERAL;251,08;REFERENTE IMPRESSÌÄO GRÌFICA DE 20.000 SANTINHOS FORMATO 7X10 CMS
HENRY ANTONIO SILVA NOGUEIRA;ELEICAO 2014 JOSE LUIS SCHAFER DEPUTADO FEDERAL;500;REFERENTE IMPRESSÌÄO GRÌFICA DE SANTINHOS FORMATO 6X9 CMS
JESUS SERGIO DE MENEZES;ELEICAO 2014 JOSE LUIS SCHAFER DEPUTADO FEDERAL;500;IMPRESSÌÄO GRAFICA DE SANTINHOS FORMATO 6X9 CMS
JESUS SERGIO DE MENEZES;ELEICAO 2014 JOSE LUIS SCHAFER DEPUTADO FEDERAL;161,75;IMPRESSÌÄO DE SANTINHOS 
JESUS SERGIO DE MENEZES;ELEICAO 2014 JOSE LUIS SCHAFER DEPUTADO FEDERAL;950;REFERENTE A IMPRESSÌÄO GRAFICA DE SANTINHOS 50.000 UNIDADES
JESUS SERGIO DE MENEZES;ELEICAO 2014 JOSE LUIS SCHAFER DEPUTADO FEDERAL;125,54;REFERENTE IMPRESSÌÄO GRAFICA DE 10.000 SANTINHOS FORMATO 7X10 CMS 
