NomeCandidato;NomeFornecedor;Valor;Descricao
LOURIVAL MARQUES DE OLIVEIRA FILHO;ELEICAO 2014 COMITE FINANCEIRO AC DISTRITAL/ESTADUAL PARA DEPUTADO ESTADUAL PT;730,4;DOAÌàÌÄO DE 33.200 SANTINHOS
LOURIVAL MARQUES DE OLIVEIRA FILHO;ELEICAO 2014 COMITE FINANCEIRO AC DISTRITAL/ESTADUAL PARA DEPUTADO ESTADUAL PT;748;DOAÌàÌÄO DE 34.000 SANTINHOS 
MICHELSON FROTA BARBOSA;ELEICAO 2014 COMITE FINANCEIRO AC DISTRITAL/ESTADUAL PARA DEPUTADO ESTADUAL PT;480;DOACAO 30åá000 MIL SANTINHOS 
MICHELSON FROTA BARBOSA;ELEICAO 2014 COMITE FINANCEIRO AC DISTRITAL/ESTADUAL PARA DEPUTADO ESTADUAL PT;960;DOACAO DE 60.000åá00 SANTINHOS
MICHELSON FROTA BARBOSA;ELEICAO 2014 COMITE FINANCEIRO AC DISTRITAL/ESTADUAL PARA DEPUTADO ESTADUAL PT;220;DOACAO DE 10.000åá00 SANTINHOS
JONAS DE SOUZA LIMA;ELEICAO 2014 COMITE FINANCEIRO AC DISTRITAL/ESTADUAL PARA DEPUTADO ESTADUAL PT;1478,4;SANTINHOS
JONAS DE SOUZA LIMA;ELEICAO 2014 COMITE FINANCEIRO AC DISTRITAL/ESTADUAL PARA DEPUTADO ESTADUAL PT;730,4;SANTINHOS
JONAS DE SOUZA LIMA;ELEICAO 2014 COMITE FINANCEIRO AC DISTRITAL/ESTADUAL PARA DEPUTADO ESTADUAL PT;1088;SANTINHOS
JONAS DE SOUZA LIMA;ELEICAO 2014 COMITE FINANCEIRO AC DISTRITAL/ESTADUAL PARA DEPUTADO ESTADUAL PT;1952;SANTINHOS
JONAS DE SOUZA LIMA;ELEICAO 2014 COMITE FINANCEIRO AC DISTRITAL/ESTADUAL PARA DEPUTADO ESTADUAL PT;748;SANTINHOS
FRANCIMAR FERNANDES DE ALBUQUERQUE;ELEICAO 2014 COMITE FINANCEIRO AC DISTRITAL/ESTADUAL PARA DEPUTADO ESTADUAL PT;220;SANTINHOS
FRANCIMAR FERNANDES DE ALBUQUERQUE;ELEICAO 2014 COMITE FINANCEIRO AC DISTRITAL/ESTADUAL PARA DEPUTADO ESTADUAL PT;550;SANTINHOS COM COLINHA
FRANCIMAR FERNANDES DE ALBUQUERQUE;ELEICAO 2014 COMITE FINANCEIRO AC DISTRITAL/ESTADUAL PARA DEPUTADO ESTADUAL PT;800;SANTINHOS
FRANCIMAR FERNANDES DE ALBUQUERQUE;ELEICAO 2014 COMITE FINANCEIRO AC DISTRITAL/ESTADUAL PARA DEPUTADO ESTADUAL PT;480;SANTINHOS
FRANCIMAR FERNANDES DE ALBUQUERQUE;ELEICAO 2014 COMITE FINANCEIRO AC DISTRITAL/ESTADUAL PARA DEPUTADO ESTADUAL PT;374;SANTINHOS
JOSE CARLOS REIS DA SILVA;ELEICAO 2014 COMITE FINANCEIRO AC DISTRITAL/ESTADUAL PARA DEPUTADO ESTADUAL PT;374;AQUISIÌàÌÄO DE SANTINHOS
JOSE CARLOS REIS DA SILVA;ELEICAO 2014 COMITE FINANCEIRO AC DISTRITAL/ESTADUAL PARA DEPUTADO ESTADUAL PT;220;AQUISIÌàÌÄO DE SANTINHOS
JOSE CARLOS REIS DA SILVA;ELEICAO 2014 COMITE FINANCEIRO AC DISTRITAL/ESTADUAL PARA DEPUTADO ESTADUAL PT;800;AQUISIÌàÌÄO DE SANTINHOS
JOSE CARLOS REIS DA SILVA;ELEICAO 2014 COMITE FINANCEIRO AC DISTRITAL/ESTADUAL PARA DEPUTADO ESTADUAL PT;480;AQUISIÌàÌÄO DE SANTINHOS
NILTON LUIZ COSSON MOTA;ELEICAO 2014 COMITE FINANCEIRO AC DISTRITAL/ESTADUAL PARA DEPUTADO ESTADUAL PT;480;SANTINHOS
NILTON LUIZ COSSON MOTA;ELEICAO 2014 COMITE FINANCEIRO AC DISTRITAL/ESTADUAL PARA DEPUTADO ESTADUAL PT;374;DOACAO DE 17000 SANTINHOS
MARCELO SIQUEIRA DE OLIVEIRA;ELEICAO 2014 COMITE FINANCEIRO AC DISTRITAL/ESTADUAL PARA DEPUTADO ESTADUAL PT;480;DOAÌàÌÄO DE 30.000 SANTINHOS NO VALOR DE 0åá016
MARCELO SIQUEIRA DE OLIVEIRA;ELEICAO 2014 COMITE FINANCEIRO AC DISTRITAL/ESTADUAL PARA DEPUTADO ESTADUAL PT;374;DOAÌàÌÄO DE 17 MIL SANTINHOS. R$ 0åá022 UNI. REFRENTE A NF 64
MARIA AUXILIADORA DA SILVA CAMBESSA;PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA - PSDB/AC;200;SANTINHOS 20 MIL UNIDADES
ANTONIO GILSON DE AMORIM SANTOS;PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA - PSDB/AC;200;20.000 MIL SANTINHOS
FRANCISCO DE ALMEIDA BRAGA;PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA - PSDB/AC;200;SANTINHOS
SEBASTIÌÄO DANTAS GONDIM;PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA - PSDB/AC;200;SANTINHOS
LUIZETE SILVA E SILVA;PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA - PSDB/AC;200;DOAÌàAO DE 20.000 SANTINHOS
RUY MEDEIROS DE ARAÌ_JO BIRICO;PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA - PSDB/AC;800;SANTINHOS
FRANCISCO DE ASSIS DOS SANTOS FURTADO;PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA - PSDB/AC;200;SANTINHOS
DEODATO NUNES DE FRANÌàA;PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA - PSDB/AC;400;SANTINHOS
JOSÌä CELIO BRITO DA SILVA;PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA - PSDB/AC;200;SANTINHOS 20 MIL 
BENEDITO SILVA BARBOSA;PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA - PSDB/AC;200;SANTINHOS
JOSÌä VIEIRA DE FARIAS;PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA - PSDB/AC;800;SANTINHOS
FERNANDO SOUSA CARDOSO;PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA - PSDB/AC;200;SANTINHOS
MARIA JOSÌä NUNES RAMOS;PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA - PSDB/AC;200;SANTINHOS 20 MIL UNIDADES
WILDY BENTO DA SILVA SAADY;PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA - PSDB/AC;200;SANTINHOS
RAIMUNDO RICARDO GOMES DA SILVA;PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA - PSDB/AC;200;SANTINHOS
LUIZ GONZAGA ALVES FILHO;PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA - PSDB/AC;200;20 MIL SANTINHOS 
REGINA NORMA DE ARAÌ_JO ROSAS;PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA - PSDB/AC;200;SANTINHOS
ANTONIO JOSÌä CORREIA DANIEL;PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA - PSDB/AC;200;SANTINHO
FRANCISCO NAZARENO DA SILVA;PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA - PSDB/AC;800;DOAÌàÌÄO DE 80.000 MIL SANTINHOS
JANILDO NONATO MONTEIRO;PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA - PSDB/AC;200;SANTINHOS
VILMAR LEITE BATISTA;PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA - PSDB/AC;200;20.000 MIL SANTINHOS
WIRTO HUGO DA SILVA LIMA;PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA - PSDB/AC;200;20.000 MIL SANTINHOS
JÌ_LIO CÌäSAR PAIVA DE MOURA;PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA - PSDB/AC;200;SANTINHOS
ANTONIA FRANÌàA DE OLVIEIRA VIEIRA;PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA - PSDB/AC;200;20 MIL SANTINHOS
MÌRCIO MIGUEL BITTAR;PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA - PSDB/AC;11750;SANTINHOS
EDSON BRAGA RODRIGUES;PARTIDO DA SOCIAL DEMOCRACIA BRASILEIRA - PSDB/AC;800;UNIDADES DE SANTINHOS
MARIA JOICILENE SOUZA SILVA NOBRE;ELEICAO 2014 COMITE FINANCEIRO AC UNICO DEM;180;SANTINHOS NO VALOR UNITARIO DE 0åá09 (MILHEIRO NO VALOR 9åá0)
FRANCISCO CARLOS OLIVEIRA DE LIMA;ELEICAO 2014 COMITE FINANCEIRO AC UNICO DEM;100;SANTINHOS NF 598
FRANCISCO CARLOS OLIVEIRA DE LIMA;ELEICAO 2014 COMITE FINANCEIRO AC UNICO DEM;180;SANTINHOS 4 X 4 CORES
ITAMARA SOUZA DA COSTA;ELEICAO 2014 COMITE FINANCEIRO AC UNICO DEM;90;SANTINHOS 4X4 CORES DE PAPEL TOCHE (10 MILHEIROS )
ANDRÌä REGO DE ARAÌ_JO;ELEICAO 2014 COMITE FINANCEIRO AC UNICO DEM;90;SANTINHOS 4X4 CORES PAPEL TOCHE (10 MILHEIROS )
MARIZETE DA SILVA MACIEL;ELEICAO 2014 COMITE FINANCEIRO AC UNICO DEM;90;SANTINHOS 4X4 CORES PAPEL TOCHE (10 MILHEROS DE SANTINHOS )
MARIA TERESA GAUNA;ELEICAO 2014 COMITE FINANCEIRO AC UNICO DEM;180;SANTINHOS 4X4 CORESåá PAPEL TOUCHE ( 20 MIL)
JOSE RAIMILDO DE LIMA;ELEICAO 2014 COMITE FINANCEIRO AC UNICO DEM;90;SANTINHOS 4X4 CORES PAPEL TOCHE (10 MILHEROS )
MARIA DA CONCEIÌàÌÄO ALVES;ELEICAO 2014 COMITE FINANCEIRO AC UNICO DEM;90;SANTINHOS 4X4 CORES PAPEL TOCHE (10 MILHEROS )
CLAUDEMIR CALVALHO DE MESQUITA;ELEICAO 2014 COMITE FINANCEIRO AC UNICO DEM;90;SANTINHOS 4X4 CORES PAPEL TOCHE (10 MILHEIROS )
SILVANA DANTAS BENTES DA SILVA;ELEICAO 2014 COMITE FINANCEIRO AC UNICO DEM;90;SANTINHOS NO FORMATO 4X4 CORES NO PAPEL COUCHE MILHEIRO 9åá00 ( NOVE REAIS ) 
MÌRIO JORGE DA SILVA ANUTE;ELEICAO 2014 COMITE FINANCEIRO AC UNICO DEM;90;SANTINHOS 4X4 CORES PAPEL TOCHE ( 10 MILHEIROS )
SAULO DE FREITAS RIBEIRO;ELEICAO 2014 COMITE FINANCEIRO AC UNICO DEM;100;10.000 SANTINHOS
SAULO DE FREITAS RIBEIRO;ELEICAO 2014 COMITE FINANCEIRO AC UNICO DEM;250,76;20 MIL SANTINHOS
SAULO DE FREITAS RIBEIRO;ELEICAO 2014 COMITE FINANCEIRO AC UNICO DEM;180;SANTINHOS 4X4 CORESåá PAPEL TOUCHE (20 MILHEIRO )
ANTONIO PEDRO MENDONÌàA;ELEICAO 2014 COMITE FINANCEIRO AC UNICO DEM;90;SANTINHOS AO CUSTO UNITARIO DE 9 REAIS O MILHEIRO 
LUANA MARIA DE SOUZA LEAL;ELEICAO 2014 COMITE FINANCEIRO AC UNICO DEM;90;SANTINHOS 4X4 CORES PAPEL TOCHE (10 MILHEIROS )
JOAQUIM LIRA DE CARVALHO;ELEICAO 2014 COMITE FINANCEIRO AC UNICO DEM;250,08;SANTINHOS 
JOAQUIM LIRA DE CARVALHO;ELEICAO 2014 COMITE FINANCEIRO AC UNICO DEM;100;130 MIL SANTINHOS
JOAQUIM LIRA DE CARVALHO;ELEICAO 2014 COMITE FINANCEIRO AC UNICO DEM;180;20 MIL SANTINHOS NO VALOR DE 0åá09 CENTAVOS ( 9åá00 REAIS MILHEIRO )
MAURICIO SANDRO ANDRE;ELEICAO 2014 COMITE FINANCEIRO AC UNICO DEM;90;SANTINHOS 4X4 CORES PAPEL TOCHE (10 MILHEROS )
ELIENE SANTOS GONÌàALVES MATOS;ELEICAO 2014 COMITE FINANCEIRO AC UNICO DEM;90;SANTINHOS 4X4 CORES PAPEL TOCHE (10 MILHEIROS )
MANOEL FRANCISCO PINTO DE LIMA;ELEICAO 2014 COMITE FINANCEIRO AC UNICO DEM;90;SANTINHOS 4X4 CORES PAPEL TOCHE (10 MILHEIROS )
VALDETE DE SOUZA;ELEICAO 2014 COMITE FINANCEIRO AC UNICO DEM;180;SANTINHOS 4X4 CORESåá PAPEL TOUCHE (20 MILHEIRO )
JOSÌä MARIA DA SILVA ARAUJO;ELEICAO 2014 COMITE FINANCEIRO AC UNICO DEM;90;SANTINHOS 4X4 CORES PAPEL TOCHE (10 MILHEIROS )
RAIMUNDO NONATO FERREIRA DA SILVA;ELEICAO 2014 COMITE FINANCEIRO AC UNICO DEM;90;SANTINHOS 4X4 CORES PAPEL TOCHE (10 MILHEIROS )
RAIMUNDA NONATA DA SILVA MACEDO;ELEICAO 2014 COMITE FINANCEIRO AC UNICO DEM;90;SANTINHOS 4X4 CORES PAPEL TOCHE (10 MILHEROS )
JANETE PEREIRA DE SOUZA;ELEICAO 2014 COMITE FINANCEIRO AC UNICO DEM;90;SANTINHOS 4X4 CORES PAPEL TOCHE (10 MILHEIROS )
EDILEUDO ROCHA DA SILVA;ELEICAO 2014 COMITE FINANCEIRO AC UNICO DEM;90;SANTINHOS 4X4 CORES PAPEL TOCHE (10 MILHEIRO )
MARIA DE FATIMA SORIANO DA SILVA;ELEICAO 2014 COMITE FINANCEIRO AC UNICO DEM;90;SANTINHOS 4X4 CORES PAPEL TOCHE ( 10 MILHEIROS ) 
NORMANDO RODRIGUES SALES;ELEICAO 2014 COMITE FINANCEIRO AC UNICO DEM;180;VINTE MIL SANTINHOS
JOSÌä AUGUSTO LEANDRO RODRIGUES;ELEICAO 2014 COMITE FINANCEIRO AC UNICO DEM;180;SANTINHOS 4 X 4 CRES
ENÌäIAS MARQUES DOS SANTOS;ELEICAO 2014 COMITE FINANCEIRO AC UNICO DEM;90;SANTINHOS 4X4 CORES PAPEL TOCHE ( 10 MILHEIROS ) 
DANIEL SANTOS DE LIMA;ELEICAO 2014 COMITE FINANCEIRO AC UNICO DEM;90;SANTINHO 4X4 CORES PAPEL TOCHE (10 MILHEIROS )
MARCELINO LIMA DE SOUZA;ELEICAO 2014 COMITE FINANCEIRO AC UNICO DEM;90;SANTINHOS 4X4 CORES PAPEL TOCHE ( 10 MILHEIROS )
JOÌÄO RAFAEL TAVARES DA CRUZ MAIA;ELEICAO 2014 COMITE FINANCEIRO AC UNICO DEM;90;SANTINHOS 4X4 CORES (10 MILHEROS )
RAIMUNDA NONATA FERRO DOURADO;ELEICAO 2014 COMITE FINANCEIRO AC UNICO DEM;90;SANTINHOS 4X4 CORES PAPEL (10 MILHEIROS )
JAIZO CORDEIRO DA SILVA;ELEICAO 2014 COMITE FINANCEIRO AC UNICO DEM;90;SANTINHOS 4X4 CORES PAPEL TOCHE (10 MILHEIROS )
SEBASTIÌÄO ALVES RODRIGUES MANCHINERY;ELEICAO 2014 COMITE FINANCEIRO AC UNICO DEM;180;SANTINHOS 4X4 CORES PAPEL COUCHE ( 20 MILHEIROS)
PAULO JEAN DA SILVA XIMENES;ELEICAO 2014 COMITE FINANCEIRO AC UNICO DEM;90;SANTINHOS 4X4 CORES PAPEL TOCHE (10 MILHEIROS )
IVO RICARDO DE OLIVEIRA;ELEICAO 2014 COMITE FINANCEIRO AC UNICO DEM;90;SANTINHOS 4X4 CORES PAPEL TOCHE (10 MILHEROS )
FABIO MARQUES CAVALCANTE;ELEICAO 2014 COMITE FINANCEIRO AC UNICO DEM;90;SANTINHOS 4X4 CORES PAPEL TOCHE (10 SANTINHOS )
EMERSON LEÌÄO PEREIRA DA SILVA;ELEICAO 2014 COMITE FINANCEIRO AC UNICO DEM;90; SANTINHOS 4X4CORES PAPEL TOCHE (10 MILHEIROS )
SHIRLEY TORRES DE ARAÌ_JO;ELEICAO 2014 COMITE FINANCEIRO AC UNICO DEM;250,07;20.000 SANTINHOS
SHIRLEY TORRES DE ARAÌ_JO;ELEICAO 2014 COMITE FINANCEIRO AC UNICO DEM;100;10.000 SANTINHOS
MARIVALTER HERMOGENES DE SOUZA;ELEICAO 2014 COMITE FINANCEIRO AC UNICO DEM;90;SANTINHOS 4X4 CORES PAPEL TOCHE ( 10 MILHEIROS ) 
MARIA SEBASTIANA SILVA DO NASCIMENTO;ELEICAO 2014 COMITE FINANCEIRO AC UNICO DEM;90;SANTINHOS 4X4 CORES PAPEL TOCHE ( 10 MILHEIROS ) 
GESSE FERREIRA DO NASCIMENTO;ELEICAO 2014 COMITE FINANCEIRO AC UNICO DEM;90;SANTINHOS 4X4 CORES PAPEL TOCHE (10 MILHEIROS )
LEANDRO BEZERRA DA COSTA;ELEICAO 2014 COMITE FINANCEIRO AC UNICO DEM;90;SANTINHOS 4X4 CORES PAPEL COUCHE (10 MILHEIROS )
PAULO AMORIM DE ANDRADE;ELEICAO 2014 COMITE FINANCEIRO AC UNICO DEM;90;SANTINHOS 4X4 CORES PAPEL TOCHE (10 MILHEIROS )
JOÌÄO ADELINO PINATI;ELEICAO 2014 COMITE FINANCEIRO AC UNICO DEM;90;10 MIL SANTINHOS 4X4 EM PAPEL TOCHE 
JOSÌä ALDENI DE SOUSA DA SILVA;ELEICAO 2014 COMITE FINANCEIRO AC UNICO DEM;90;SANTINHOS 4X4 CORES PAPAEL TOCHE( 10 SANTINHOS )
SEBASTIÌÄO AFONSO SANTOS DE SOUZA;ELEICAO 2014 COMITE FINANCEIRO AC UNICO DEM;90;SANTINHOS 4X4 CORES PAPEL TOCHE (10 MILHEIROS ) 
HILÌRIO JOSÌä DO NASCIMENTO;ELEICAO 2014 COMITE FINANCEIRO AC UNICO DEM;100;10.000 SANTINHOS
HILÌRIO JOSÌä DO NASCIMENTO;ELEICAO 2014 COMITE FINANCEIRO AC UNICO DEM;250,07;20.000 SANTINHOS
HILÌRIO JOSÌä DO NASCIMENTO;ELEICAO 2014 COMITE FINANCEIRO AC UNICO DEM;180;SANTINHOS 4X4 CORES PAPEL COUCHE ( 20 MILHEIRO)
FRANCINEUDO SOUZA DA COSTA;ELEICAO 2014 COMITE FINANCEIRO AC UNICO DEM;90;SANTINHOS 4X4 CORES PAPEL TOCHE (10 MILHEIROS )
NELSON RODRIGUES SALES;ELEICAO 2014 COMITE FINANCEIRO AC UNICO DEM;90;10 MIL SANTINHOS 
FRANCISCO ANTONIO LIRA DA SILVA MONTEIRO;ELEICAO 2014 COMITE FINANCEIRO AC UNICO DEM;180;20.000 SANTINHOS
FRANCISCO ANTONIO LIRA DA SILVA MONTEIRO;ELEICAO 2014 COMITE FINANCEIRO AC UNICO DEM;100;10.000 SANTINHOS
HIDSON DA COSTA MORAES;ELEICAO 2014 COMITE FINANCEIRO AC UNICO DEM;90;SANTINHOS 4 X 4 CORES 
BARTOLOMEU DUTRA DA SILVA JUNIOR;ELEICAO 2014 COMITE FINANCEIRO AC UNICO DEM;90;SANTINHOS 4X4 CORES PAPEL TOCHE (10 MILHEIROS )
SEBASTIANA RIBEIRO DOS SANTOS OLIVEIRA;ELEICAO 2014 COMITE FINANCEIRO AC UNICO DEM;90;SANTINHOS 4X4 CORES PAPEL TOCHE (10 MILHEROS DE SANTINHOS )
FRANCISCO RODRIGUES ANTROBOS;ELEICAO 2014 COMITE FINANCEIRO AC UNICO DEM;90;SANTINHOS 4X4 CORES PAPELTOCHE (10 MILHEIROS )
MARIA SOCORRO SOARES DE OLIVEIRA;ELEICAO 2014 COMITE FINANCEIRO AC UNICO DEM;100;130 MIL SANTINHOS CUSTO UNITÌRIO 0åá01
MARIA SOCORRO SOARES DE OLIVEIRA;ELEICAO 2014 COMITE FINANCEIRO AC UNICO DEM;180;SANTINHOS 20 MIL SANTINHOS
SEBASTIÌÄO BOCALOM RODRIGUES;ELEICAO 2014 COMITE FINANCEIRO AC UNICO DEM;4500;SANTINHOS FORMATO 4 X 4 PAPEL COLCHÌ_åá 500 MILHEIROS AO CUSTO DE R$ 9åá00 POR MILHEIRO
SEBASTIÌÄO BOCALOM RODRIGUES;ELEICAO 2014 COMITE FINANCEIRO AC UNICO DEM;1500;SANTINHOS 7 X 10 PAPEL COLCHÌ_ BRILHOåá 50 MILHEIROSåá AO CUSTO DE R$ 30åá00
SEBASTIÌÄO BOCALOM RODRIGUES;ELEICAO 2014 COMITE FINANCEIRO AC UNICO DEM;900;SANTINHOS COLORIDOS 4 X 1 PAPEL COLCHÌ_åá 50 MILHEIROSåá PREÌàO POR MILHEIRO 18åá00
FABIANO RODRIGUES MACIEL;ELEICAO 2014 COMITE FINANCEIRO AC UNICO DEM;90;SANTINHOS 4X4 CORES PAPEL TOCHE (10 MILHEIROS )
DANIEL NOGUEIRA DA SILVA;ELEICAO 2014 COMITE FINANCEIRO AC UNICO DEM;90;SANTINHOS 4X4 CORES PAPEL TOCHE (10 MILHEIROS )
FLAVIO DE OLIVEIRA PEREIRA;ELEICAO 2014 COMITE FINANCEIRO AC UNICO DEM;90;SANTINHOS 4X4 CORES PAPEL TOCHE ( 10 MILHEROS )
ALDERLI PEREIRA DA SILVA;ELEICAO 2014 COMITE FINANCEIRO AC UNICO DEM;90;SANTINHOS 4 X 4 CORES 
EBER SILVA MACHADO;PARTIDO SOCIAL DEMOCRATA CRISTAO;197,5;DOAÌàÌÄO DE 25.000 MIL SANTINHOS 6X9Cåá COUCHE LISO 90G
LOURIVAL MARQUES DE OLIVEIRA FILHO;ELEICAO 2014 CARLOS CESAR CORREIA DE MESSIAS DEPUTADO FEDERAL;300;DOAÌàÌÄO DE 30.000 SANTINHOS 
FRANCISCO LOPES PESSOA;ELEICAO 2014 CARLOS CESAR CORREIA DE MESSIAS DEPUTADO FEDERAL;600;SANTINHO 4X1 COR
UELITON ALVES DE MELO;ELEICAO 2014 CARLOS CESAR CORREIA DE MESSIAS DEPUTADO FEDERAL;300;SANTINHO 4X1 COR
MAURO JOSÌä DE DEUS MORAIS;ELEICAO 2014 CARLOS CESAR CORREIA DE MESSIAS DEPUTADO FEDERAL;300;SANTINHOS
JONAS DE SOUZA LIMA;ELEICAO 2014 CARLOS CESAR CORREIA DE MESSIAS DEPUTADO FEDERAL;500;SANTINHO 4X1
ANDRE ROBERTO ROGERIO VALE DOS SANTOS;ELEICAO 2014 CARLOS CESAR CORREIA DE MESSIAS DEPUTADO FEDERAL;400;SANTINHOS
MARCUS VINICIUS DO VALE ANUTE;ELEICAO 2014 CARLOS CESAR CORREIA DE MESSIAS DEPUTADO FEDERAL;600;60 MIL SANTINHOS
JOSE CARLOS REIS DA SILVA;ELEICAO 2014 CARLOS CESAR CORREIA DE MESSIAS DEPUTADO FEDERAL;300;30.000 SANTINHOS MEDINDO 4X1 COLORIDO
ANTONIO JOSENILDO INACIO DA SILVA;ELEICAO 2014 CARLOS CESAR CORREIA DE MESSIAS DEPUTADO FEDERAL;1800;DOAÌàÌÄO DE SANTINHO 4X1 COR
ANTONIO MARCELLO SANTOS DE SOUZA;ELEICAO 2014 CARLOS CESAR CORREIA DE MESSIAS DEPUTADO FEDERAL;300;SANTINHOS
ANTONIO MARCELLO SANTOS DE SOUZA;ELEICAO 2014 CARLOS CESAR CORREIA DE MESSIAS DEPUTADO FEDERAL;1100;SANTINHO 4X1 COR
LUANA MARIA DE SOUZA LEAL;PARTIDO DA MOBILIZACAO NACIONAL;137,5;SANTINHOS 
VALDETE DE SOUZA;PARTIDO DA MOBILIZACAO NACIONAL;275;SANTINHOS
VALDETE DE SOUZA;PARTIDO DA MOBILIZACAO NACIONAL;275;50.000 SANTINHO
VALDETE DE SOUZA;PARTIDO DA MOBILIZACAO NACIONAL;412,5;75000 SANTINHOS
VALDETE DE SOUZA;PARTIDO DA MOBILIZACAO NACIONAL;275;50.000 SANTINHOS
RAIMUNDO NONATO FERREIRA DA SILVA;PARTIDO DA MOBILIZACAO NACIONAL;137,5;SANTINHOS 
FLAVIO DE OLIVEIRA PEREIRA;PARTIDO DA MOBILIZACAO NACIONAL;137,5;SANTINHOS 
YOLANDA GARDENAL CABRERA CAMOLEZ;PARTIDO SOCIAL LIBERAL - PSL;512;SANTINHOS
FRANCISCO SOTERO DOS SANTOS;ELEICAO 2014 COMITE FINANCEIRO AC UNICO PRP;946,15;SANTINHOS
MAGID KASSEN MASTUB NETO;ELEICAO 2014 COMITE FINANCEIRO AC UNICO PRP;104,72;SANTINHOS
MAGID KASSEN MASTUB NETO;ELEICAO 2014 COMITE FINANCEIRO AC UNICO PRP;48;SANTINHOS
ANDRE ROBERTO ROGERIO VALE DOS SANTOS;ELEICAO 2014 COMITE FINANCEIRO AC UNICO PRP;1456;SANTINHOS
LEONCIO TEMOTEO DE CASTRO;ELEICAO 2014 COMITE FINANCEIRO AC UNICO PRP;1230,4;SANTINHOS
LEONCIO TEMOTEO DE CASTRO;ELEICAO 2014 COMITE FINANCEIRO AC UNICO PRP;1401,6;SANTINHOS
LEONCIO TEMOTEO DE CASTRO;ELEICAO 2014 COMITE FINANCEIRO AC UNICO PRP;609,22;SANTINHOS
MARCOS AURELIO DANTAS DE SOUZA;ELEICAO 2014 COMITE FINANCEIRO AC UNICO PRP;512;SANTINHOS
MARCOS AURELIO DANTAS DE SOUZA;ELEICAO 2014 COMITE FINANCEIRO AC UNICO PRP;440;SANTINHOS
RIVAMAR GUEDES DA SILVA;ELEICAO 2014 COMITE FINANCEIRO AC UNICO PSB;473,8;SANTINHOS
MARILZA BRÌS GOMES LOURENÌàO CARNEIRO;ELEICAO 2014 COMITE FINANCEIRO AC UNICO PSB;473,8;SANTINHOS
JULIO EDUARDO GOMES PEREIRA;ELEICAO 2014 COMITE FINANCEIRO AC UNICO PSB;473,8;SANTINHOS
THIAGO HIGINO XAVIER MENDONÌàA;ELEICAO 2014 COMITE FINANCEIRO AC UNICO PSB;473,8;SANTINHOS
JAMES CLEI LAURINDO GOMES SERRA;ELEICAO 2014 COMITE FINANCEIRO AC UNICO PSB;236,9;SANTINHOS
JORGENETE MESQUITA JARDIM;ELEICAO 2014 COMITE FINANCEIRO AC UNICO PSB;236,9;SANTINHOS
ELISON DENIS AZEVEDO DA SILVA;ELEICAO 2014 COMITE FINANCEIRO AC UNICO PSB;473,8;SANTINHOS
JOSÌä RONALDO PESSOA PEREIRA;ELEICAO 2014 COMITE FINANCEIRO AC UNICO PSB;468;SANTINHOS
ELSIMAR SANTIAGO DE MELO JUNIOR;ELEICAO 2014 COMITE FINANCEIRO AC UNICO PSB;473,8;SANTINHO 
MAURILHO DA COSTA SILVA;ELEICAO 2014 COMITE FINANCEIRO AC UNICO PSB;473,8;SANTINHOS
EMERSON DO NASCIMENTO SILVA;ELEICAO 2014 COMITE FINANCEIRO AC UNICO PRB;660;SANTINHO EM PAPEL COLCHET 115G
EMERSON DO NASCIMENTO SILVA;ELEICAO 2014 COMITE FINANCEIRO AC UNICO PRB;133;SANTINHO 4X1 PAPEL COLCHET 90G
EMERSON DO NASCIMENTO SILVA;ELEICAO 2014 COMITE FINANCEIRO AC UNICO PRB;1733;SANTINHO
EMERSON DO NASCIMENTO SILVA;ELEICAO 2014 COMITE FINANCEIRO AC UNICO PRB;246;SANTINHO 4X1 COLCHET 90G FOSCO
EMERSON DO NASCIMENTO SILVA;ELEICAO 2014 COMITE FINANCEIRO AC UNICO PRB;1584,6;SANTINHO 4X1 PAPEL COLCHET 90G
